   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.63802,             0.51831,             0.53233,             0.28521,            0.065864,            0.076052,            0.014781,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.68971,             0.51454,             0.54998,             0.28466,            0.066906,            0.075661,            0.014463,             0.01001,                0.01,             0.93729,              0.0005,              3.0023,                 0.8,             0.09995,                0.05,                 0.5,              1.0052,             0.99677,                   1,                 0.2,                   4,                   0,             0.01497,             0.70344,             0.39965,                   0,             0.09979,             0.49881,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.0194
             0.64499,             0.53939,              0.5349,             0.28801,            0.069172,            0.072114,             0.01451,             0.01011,                0.01,             0.93652,             0.00052,              3.0023,                 0.8,             0.10216,             0.05148,                 0.5,             0.97315,             0.94989,                   1,                 0.2,              4.2911,                   0,             0.01496,             0.74195,             0.40633,                   0,             0.09973,              0.4894,                   0,                   0,                   0,                 0.5,             0.99367,                   0,                   0,              3.0194
             0.63187,             0.53478,             0.53606,             0.28836,            0.067859,            0.076719,            0.015397,              0.0098,                0.01,             0.93729,              0.0005,              3.0595,             0.79443,             0.10018,                0.05,                 0.5,             0.97484,             0.99056,                   1,                 0.2,                   4,                   0,             0.01463,             0.71209,             0.40122,                   0,             0.09842,             0.48376,                   0,                   0,                   0,                 0.5,             0.97857,                   0,                   0,               2.988
             0.70579,             0.50612,             0.54608,             0.29254,            0.066276,            0.067534,            0.014869,             0.01001,             0.01139,             0.94914,              0.0005,              2.7432,             0.93167,             0.09253,             0.05227,             0.56512,             0.87814,             0.91706,             0.98399,                 0.2,               3.828,                   0,             0.01323,             0.70344,             0.39004,                   0,             0.10924,             0.49177,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.0194
             0.65335,             0.51548,             0.54457,             0.29224,            0.067571,            0.076483,            0.015032,             0.00996,             0.01031,             0.92083,              0.0005,               3.122,                 0.8,             0.10031,             0.05092,                 0.5,              1.1531,             0.94913,              1.1994,                 0.2,              3.6261,                   0,             0.01613,             0.70344,             0.39156,                   0,             0.09979,             0.54821,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.8875
             0.66489,             0.52893,             0.54788,             0.28905,            0.069508,            0.075861,            0.012527,             0.00817,             0.01141,             0.93255,             0.00056,              2.6796,             0.79147,              0.0918,             0.05148,              0.4269,              1.0143,               1.008,              1.0277,                 0.2,               4.039,                   0,             0.01589,             0.73551,             0.39591,                   0,             0.10119,             0.46195,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.1304
             0.66559,             0.51548,             0.54002,             0.28941,            0.067764,            0.062162,            0.012988,             0.00817,             0.01162,             0.96369,             0.00053,              2.8976,              0.7754,             0.09764,             0.05021,              0.4504,             0.99031,             0.83357,              1.0277,                 0.2,              4.0103,                   0,             0.01435,             0.77951,              0.3725,                   0,             0.10314,             0.53943,                   0,                   0,                   0,                 0.5,             0.95432,                   0,                   0,              3.2537
             0.53409,             0.44454,             0.43019,             0.18746,            0.090486,            0.072439,            0.021936,             0.00778,             0.01016,             0.92505,             0.00066,              2.6597,             0.65251,             0.06894,             0.05786,             0.53027,             0.99031,             0.96923,              1.1555,                 0.2,              5.1149,                   0,             0.01528,                 0.9,             0.36771,                   0,             0.10314,             0.56362,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.9675
             0.68347,             0.50892,              0.5589,             0.30374,            0.072054,            0.053628,            0.014105,              0.0084,             0.01162,             0.94758,             0.00053,              3.0154,             0.91083,             0.10022,             0.05768,             0.47915,              1.0991,             0.83357,             0.85722,                 0.2,              3.7041,                   0,             0.01688,             0.76835,              0.3725,                   0,             0.10314,             0.53943,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.1892
              0.6433,             0.53544,             0.54252,             0.29492,            0.065634,             0.10883,            0.014824,             0.00935,             0.01031,             0.92083,             0.00052,              3.8909,                0.95,             0.09889,             0.05092,                 0.5,              1.1531,             0.87597,              1.7734,                 0.2,              3.9656,                   0,             0.01346,             0.65094,              0.3577,                   0,             0.10786,             0.54821,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.3958
             0.65738,              0.5179,             0.53661,             0.25695,             0.06428,             0.09262,            0.019304,             0.00996,             0.01031,             0.92083,             0.00056,              3.4436,             0.90915,             0.10031,             0.05133,             0.51635,              1.3045,             0.94913,               1.486,                 0.2,              3.6261,                   0,             0.01355,             0.58523,             0.30087,                   0,             0.12537,             0.54821,                   0,                   0,                   0,                 0.5,              0.8038,                   0,                   0,                   2
             0.69974,             0.51669,             0.54335,             0.28541,            0.070864,            0.081403,            0.015416,             0.00996,             0.01127,             0.90507,             0.00046,               3.122,             0.79308,             0.09669,             0.05197,             0.47854,              1.2799,             0.94913,              1.1994,                 0.2,              4.0357,                   0,             0.01608,             0.63472,             0.37115,                   0,             0.10468,             0.47927,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.6444
             0.70456,             0.48983,             0.53773,             0.28822,            0.063229,            0.079933,            0.017419,             0.00946,             0.01152,              0.9033,              0.0005,              2.4864,             0.76856,             0.11474,             0.04601,             0.52728,              1.1332,             0.94913,              1.1999,                 0.2,              4.1689,                   0,             0.01716,             0.58923,             0.52921,                   0,             0.12605,             0.67276,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.8875
             0.65496,             0.48498,              0.5125,             0.24139,            0.052825,            0.056971,            0.019886,             0.00854,                0.01,             0.92083,             0.00049,               3.029,             0.70796,             0.10973,              0.0382,              0.4847,              1.2249,             0.74767,              1.1531,                 0.2,              3.9608,                   0,             0.01457,             0.67714,             0.31853,                   0,             0.07672,             0.55724,                   0,                   0,                   0,                 0.5,             0.89487,                   0,                   0,                   2
             0.64225,             0.54063,             0.53809,             0.28285,            0.064454,            0.072785,             0.01323,               0.011,                0.01,             0.97706,             0.00064,              3.7308,             0.65051,             0.10031,             0.05092,             0.46737,              1.1114,             0.94913,              1.1994,                 0.2,              3.2381,                   0,             0.01863,             0.62305,             0.38366,                   0,             0.09979,             0.54821,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.8875
             0.58157,             0.51038,             0.50576,              0.2455,            0.062425,            0.088683,            0.019846,             0.00879,             0.01329,             0.91465,             0.00057,               3.122,             0.86774,             0.10308,             0.05092,             0.63067,              1.1655,              1.0301,              1.5496,                 0.2,              2.9171,                   0,             0.01558,             0.70344,             0.33603,                   0,             0.09979,             0.51764,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   2
             0.65356,             0.53032,             0.53792,             0.28181,            0.054313,            0.059439,            0.022918,             0.01137,             0.01281,             0.89222,             0.00063,              2.8002,                 0.8,             0.10099,             0.03947,             0.60586,              1.4381,             0.86193,             0.98519,                 0.2,              3.7961,                   0,             0.01613,             0.79674,             0.38889,                   0,             0.11317,              0.5666,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.3007
             0.63617,             0.52223,             0.53064,             0.27119,            0.072075,            0.075009,            0.014926,             0.01054,                0.01,             0.89678,              0.0005,              2.9935,             0.78726,             0.10959,             0.05325,                 0.5,              1.0252,             0.94175,               1.176,                 0.2,              3.6882,                   0,             0.01724,             0.70344,             0.39156,                   0,             0.11157,              0.5589,                   0,                   0,                   0,                 0.5,             0.90805,                   0,                   0,              3.1488
