               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11108,            0.093262,            0.017923,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0011,              0.0011,              0.0901
                   1,             0.10054,            0.070361,            0.012151,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0020723,           0.0020723,            0.079072
                   2,            0.085427,            0.064705,           0.0087836,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.002807,            0.002807,            0.067807
                   3,            0.070835,            0.068496,            0.008285,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0033041,           0.0033041,            0.056304
                   4,            0.052736,            0.069557,           0.0077221,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0035636,           0.0035636,            0.044564
                   5,            0.042263,             0.07308,           0.0065652,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0035855,           0.0035855,            0.032586
                   6,            0.038906,            0.074186,           0.0062136,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0033698,           0.0033698,             0.02037
                   7,            0.034911,            0.074003,           0.0063926,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0029165,           0.0029165,           0.0079165
                   8,            0.031441,            0.071442,           0.0059824,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                   9,            0.029919,            0.071473,           0.0060035,             0.63925,             0.51707,             0.53425,             0.28439,            0.065918,            0.075972,            0.014825,             0.00208,             0.00208,             0.00208
                   0,             0.11409,            0.092821,            0.018654,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0011,              0.0011,            0.090055
                   1,             0.10412,            0.068224,            0.012385,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0020723,           0.0020723,            0.079034
                   2,            0.088944,            0.063223,           0.0092828,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.002807,            0.002807,            0.067775
                   3,            0.074406,            0.066514,           0.0085495,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0033041,           0.0033041,            0.056278
                   4,            0.056321,            0.069291,           0.0078098,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0035636,           0.0035636,            0.044543
                   5,            0.045074,            0.073116,           0.0067137,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0035855,           0.0035855,            0.032571
                   6,            0.039732,            0.070227,           0.0062312,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0033698,           0.0033698,            0.020361
                   7,            0.035597,            0.074347,           0.0059703,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0029165,           0.0029165,            0.007914
                   8,            0.032422,            0.072733,           0.0056907,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                   9,            0.030987,            0.070797,           0.0059092,             0.66158,             0.52651,             0.54258,             0.29026,            0.066534,            0.073939,            0.014311,             0.00208,             0.00208,             0.00208
                   0,             0.10851,            0.085254,            0.012203,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0012353,           0.0012353,            0.090191
                   1,            0.098779,            0.065646,           0.0081526,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0023276,           0.0023276,            0.079289
                   2,            0.086343,            0.057197,           0.0067029,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0031535,           0.0031535,            0.068121
                   3,            0.075108,            0.057015,           0.0054975,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.003713,            0.003713,            0.056686
                   4,            0.059809,            0.063143,           0.0054772,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0040061,           0.0040061,            0.044986
                   5,            0.049499,            0.064134,           0.0048168,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0040327,           0.0040327,            0.033018
                   6,            0.042142,            0.061808,           0.0043232,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.003793,            0.003793,            0.020785
                   7,            0.036194,             0.06237,           0.0042442,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0032869,           0.0032869,           0.0082844
                   8,            0.032306,            0.061308,           0.0040322,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0023499,           0.0023499,           0.0023499
                   9,            0.029938,            0.064255,           0.0040295,             0.70469,             0.52673,             0.54942,             0.28169,             0.06747,            0.071091,            0.010377,           0.0023499,           0.0023499,           0.0023499
                   0,             0.11104,            0.093625,             0.01505,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0010307,           0.0010307,             0.10414
                   1,             0.10115,            0.071916,            0.010609,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0019419,           0.0019419,            0.091146
                   2,            0.087621,            0.065113,           0.0079484,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0026306,           0.0026306,            0.077933
                   3,            0.074363,            0.066271,            0.007206,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0030968,           0.0030968,            0.064497
